procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  1 488560 1406252  14776 880924   95  280  1141 17129 17908   18 42 27 28  3  0  0
10  0 488560 1399464  14784 881072    0    0     0 21990 22789 27977 36 25 33  6  0  0
 9  2 488560 1404908  14792 881064    2    0     2 22214 24214 30906 42 27 28  3  0  0
 9  0 488560 1402544  14804 881144    2    0     2 28182 27326 34314 41 27 29  3  0  0
 6  4 488560 1394684  14812 881156    8    0     8 23066 23570 29239 43 27 27  3  0  0
15  1 488560 1402688  14812 881164    0    0     0 15180 17776 21607 35 29 32  4  0  0
 9  2 488560 1398148  14820 881556    4    0   198 17906 19576 23979 42 28 26  4  0  0
13  1 488560 1383416  14844 881536    4    0    12 29160 28306 36326 42 29 27  3  0  0
18  0 488560 1352800  14880 881520    4    0    10 24916 23204 28025 44 29 25  2  0  0
 9  0 488560 1283860  14888 881552    2    0     2 24220 23335 28265 42 27 28  3  0  0
14  0 488560 1272180  14888 882912    2    0   774 20314 20245 24360 45 27 24  3  0  0
15  0 488560 1246272  14900 883140   14    0    18 17370 19001 22852 40 27 29  3  0  0
 9  0 488560 1156984  14916 883164    0    0     8 24368 22793 27781 46 29 23  2  0  0
 9  0 488560 1194036  14916 883248    0    0     0 20642 19790 22988 43 27 27  4  0  0
 7  0 488560 1169932  14936 883244    6    0     6 18976 20328 24805 44 27 26  3  0  0
 6  1 488560 1105152  14936 883252    0    0     0 20950 21080 25154 40 27 29  4  0  0
10  2 488560 1062268  14944 883276    4    0     4  9440 13997 16991 40 29 26  4  0  0
 7  2 488560 1115636  14952 883280    2    0     2 17324 17347 19825 45 26 25  4  0  0
 8  0 488560 1120284  14952 883296   26    0    26 13050 15569 18264 41 27 28  5  0  0
 7  2 488560 1118944  14972 883300   28    0    28 14908 17628 21094 35 27 33  5  0  0
11  0 488560 1061512  14980 883332    0    0     8 15128 17120 20094 38 29 28  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0 488560 1059132  14980 883328    0    0     0 11078 15195 18024 36 26 32  6  0  0
11  2 488560 1017440  14996 883344    0    0     0 11428 15084 17621 40 27 27  5  0  0
10  1 488560 998276  14996 883368    0    0     0 13340 15201 17165 40 28 27  5  0  0
 8  0 488560 1010360  15012 883516    0    0   114 11278 15036 18404 40 28 27  5  0  0
 5  1 488560 1033328  15012 883652    0    0     0  9894 12929 14406 37 26 31  6  0  0
 8  0 488560 1017932  15012 883660    2    0     2 11620 16219 20143 39 27 29  5  0  0
 9  0 488560 1018508  15028 883636    0    0     0 19296 19399 22685 44 26 27  4  0  0
14  0 488560 981292  15028 883676    0    0     0 23316 21658 25203 43 25 29  3  0  0
10  0 488560 943512  15036 883712    0    0     0 21882 21599 25965 43 25 28  5  0  0
