procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0 502488  80100  20220 623436   98  297  1181 16980 17705   18 42 27 27  3  0  0
 7  0 509144  77188  19536 596120    2 3242    70 32902 26092 31206 41 28 27  4  0  0
 6  0 512728  94080  16724 554728   20 1922   548 29454 24171 28787 41 32 24  3  0  0
12  0 513496  73176  16332 547412    0  306   726 28026 25988 31886 43 27 28  2  0  0
12  1 515544  72620  15048 518724  164 1224  4106 16890 16618 20062 52 30 14  4  0  0
14  0 516312  83360  13352 514452   98  396  1030 12344 13364 15673 61 24 13  3  0  0
12  2 516824  75280  11844 508440    0  260     0 11310 11729 12778 60 23 14  3  0  0
12  0 518616  68960  10708 493188   14  986   544  6850 8764 9873 53 33 11  3  0  0
12  0 518872  82696  10600 501016    4   34  5590  4914 9961 13468 58 29 11  3  0  0
10  0 519384  93232  10208 496772  236  296   772 12038 12040 12469 58 25 13  4  0  0
12  3 519896  73956   9064 489256   22  398   356 19584 20744 26205 48 26 23  3  0  0
 5  8 572528  95172   6872 466016    4 26364   512 33196 9598 10315 26 20 34 20  0  0
13  0 572528 114244   6876 467588    4    0   784 10054 13846 16250 57 17 16 10  0  0
11  1 572528 101920   6884 469396    6    0  1118  5882 12094 15449 39 30 26  5  0  0
17  0 572528 328596   6892 473640    0    0  2078  4610 9723 11147 49 26 20  5  0  0
11  0 572528 242168   7236 493036    2    0  2526 22766 16545 20500 54 31 12  2  0  0
 7  0 572528 257876   7240 493848    0    0   324 25274 19999 22436 53 25 20  2  0  0
 9  0 572528 228108   7248 498976    6    0  2434 15568 20358 26014 42 25 26  7  0  0
11  0 572528 237584   7304 498960    2    0    94 29028 24595 29032 48 25 25  2  0  0
15  0 572528 218144   7752 499992    2    0   850 32230 27244 32174 47 24 26  2  0  0
11  0 572528 288856   7752 500216    4    0     4 29150 26952 33538 48 25 25  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0 572528 288604   7768 502164    2    0   656 23076 21931 26126 46 26 26  2  0  0
10  0 572272 282932   7768 505200   34    0  1600 18594 20902 26465 50 24 23  2  0  0
 9  0 572272 228032   7768 505972    0    0   180 23014 22833 28009 43 26 28  3  0  0
17  0 572272 191540   7784 506724    0    0   300 19512 18982 22599 44 30 24  3  0  0
 6  1 572272 187300   7784 507312    0    0   166 15654 17846 21270 42 25 29  4  0  0
 5  0 572272 166544   7792 507304    0    0     0 20572 19538 22613 42 29 25  4  0  0
 8  0 572016 126536   7800 507764    8    0   222 14542 18745 23733 47 25 25  3  0  0
17  0 572016  78412   7800 507980    0    0   236 17630 18698 22233 41 30 26  3  0  0
 8  0 572016  79764   7340 506816    2   64     2 19920 20431 25044 49 25 23  2  0  0
17  0 572016  71520   7308 506104    0   12     0  9198 12050 14402 56 26 15  3  0  0
14  1 572528 100592   7260 503756    0  214    26 11232 12005 13064 60 24 14  2  0  0
11  0 572528  79640   7268 505092   14    0   684  7334 12209 15635 58 23 16  3  0  0
 6  0 572528  99440   7248 504596    2   16   154 14002 13845 14795 49 24 23  4  0  0
 8  0 584304  78112   7012 494040    6 6040     6 18526 16836 21311 29 23 36 12  0  0
12  0 584304  94364   7020 495704    0    0  1170 23282 21961 26536 52 25 21  2  0  0
 7  3 584304 240904   7028 496104    0    0     0 17410 18264 21403 37 28 31  5  0  0
 9  0 584304 216516   7028 496852    2    0   432  9210 17287 23168 36 30 26  8  0  0
 4  0 584304 236804   7036 496964    2    0     2 24636 22402 26010 46 26 26  2  0  0
 8  0 584304 200876   7044 497276   18    0    18 22634 23513 29559 49 25 24  2  0  0
 9  0 584304 210124   7044 497276    0    0     0 24372 23169 28001 46 25 26  2  0  0
15  0 584304 206544   7060 497656    6    0   402 23380 23018 28151 46 25 26  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0 584304 209532   7060 498060   34    0    34 21220 20846 24854 46 26 25  3  0  0
 9  1 584304 206052   7060 498124    4    0    38 21352 20391 23609 44 26 27  3  0  0
 9  0 584304 209068   7076 498136    6    0     6 12846 17041 21692 45 25 26  4  0  0
 9  0 584304 172196   7076 498208    2    0    40 17388 18913 22705 45 25 27  3  0  0
 8  1 584304 133832   7092 498416    2    0   148 22732 22730 28355 46 28 24  2  0  0
 8  0 584304  98964   7092 498512    2    0    70 27426 25426 31000 45 27 26  2  0  0
11  1 583792  94716   7504 500216   28    0  1652 23952 20824 24075 53 25 20  2  0  0
 1  0 567920 2366372   7520 524612 1544    0 13498 13932 16365 20431 30 19 49  2  0  0
 1  0 567920 2286228   7540 564820   62    0 20172    24 6555 8236  6  6 87  1  0  0
 7  5 567920 2184784   8324 583892    0    0 10350   186 10743 14139  7  7 83  3  0  0
10  2 567920 1837536  10080 667136   10    0 42030    22 22982 29393 36 41 12 12  0  0
11  0 567920 1620156  10084 744620    0    0 39042 11840 20719 22537 42 33 13 12  0  0
 4  1 567920 1619212  10092 744772    4    0     4 21910 22649 28275 43 28 27  2  0  0
10  0 567920 1618116  10100 745256    4    0     4 25178 25005 30712 45 25 28  2  0  0
 8  3 567920 1624324  10108 745936    2    0   344 17208 20695 26492 39 27 29  5  0  0
 3  3 567920 1635616  10116 745940    2    0     2 26700 26556 33214 40 27 30  3  0  0
