procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0 801668 808260  32048 788756  131  674  9757 17153 18032   18 40 29 27  4  0  0
16  0 801668 762376  32048 788924    0    0     0 22052 21699 26678 43 31 24  2  0  0
10  0 801668 950124  32056 788936   14    0    14 16880 17670 20508 42 28 26  3  0  0
 6  0 801668 950400  32064 788928    2    0     2 14064 17910 22133 44 24 28  4  0  0
 7  0 801668 939780  32064 788952    2    0     2 17970 19509 23509 41 25 29  4  0  0
11  1 801668 938648  32080 788948    0    0     0 21748 22590 27418 41 23 30  5  0  0
 8  2 801412 905796  32092 791044   76    0  1432 19170 20884 25837 44 26 27  3  0  0
10  0 801156 854656  32112 799952  122    0  4562 17360 21922 28156 43 26 26  6  0  0
 6  0 800900 810932  32128 800496   24    0    24 16184 19036 23676 48 25 25  3  0  0
 8  1 800900 773824  32128 800696    6    0    70 13510 16538 19443 37 25 32  5  0  0
14  0 799108 734476  32296 800808   78    0   434 14522 15296 17004 38 31 27  4  0  0
 6  2 799108 737920  32308 801316    2    0    20  8048 13030 15808 35 27 30  8  0  0
16  0 799108 697972  32308 801396   54    0    90 10450 12932 14806 40 30 25  5  0  0
 4  3 794500 674864  32324 801400 2548    0  2548  7760 14555 19175 33 35 25  7  0  0
 9  2 794500 667696  32324 801400    0    0     0  5404 10503 11957 30 24 38  7  0  0
 9  1 792708 620328  32660 799980   98    0   430 10058 14328 17652 36 36 23  5  0  0
15  0 789892 605260  32700 800900  666    0   914 15048 16213 18457 42 29 25  5  0  0
17  2 789124 574324  32712 801000  492    0   498  6740 11167 13616 39 36 20  6  0  0
 9  1 788868 577744  32720 801056   24    0    24  6152 13572 19024 40 29 26  5  0  0
12  1 788356 559088  32796 799840  302    0   330  8716 10954 11861 45 31 19  5  0  0
 8  0 788356 584980  32812 799792   76    0    94  6530 12898 16726 41 34 21  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0 788356 733028  32812 799992   28    0   290 19322 18892 21774 45 27 25  3  0  0
12  0 788356 706036  33168 801792   12    0  1020 19752 19392 23058 47 26 24  3  0  0
10  2 788356 681872  33440 805592    6    0  2346 18692 20065 24602 49 26 22  3  0  0
 9  0 788356 646756  33540 809236    2    0  1556 18838 19276 22758 47 25 24  3  0  0
 7  3 788356 677724  33624 811280    6    0   502 16250 19155 24918 52 26 20  2  0  0
 9  0 788356 680248  33648 811556    0    0   140 10308 13010 14358 41 24 29  7  0  0
10  0 788356 640816  33668 814716    8    0  1724 15264 16984 20500 50 24 22  4  0  0
 7  0 788356 667180  33692 816904    4    0   998  9342 13724 16366 44 28 24  4  0  0
 7  1 788356 610180  33736 822628    2    0  2844 14574 16487 19402 47 28 22  3  0  0
 3  4 788356 585164  33864 825132    2    0  1226 14406 17351 21630 46 27 23  4  0  0
 6  3 788356 459280  33864 825228   12    0    12 16408 16616 18331 36 38 24  3  0  0
14  0 788356 378796  33864 825344    0    0    18  9758 12631 14918 35 40 21  4  0  0
 8  1 788356  75284  33880 825336    4    0     4 11998 15492 18975 43 31 22  4  0  0
 7  4 785284  32332  33828 789796    4    0   220 13262 14270 16783 34 42 20  4  0  0
12  0 779140  32924  33836 774044    4    0   816 11268 14882 18883 34 42 19  4  0  0
 3  4 773340  35912  33840 746208    0 4280   704 13802 12482 14294 30 38 24  8  0  0
15  0 768464  39916  33840 707120    8 3056   390  9370 12090 15335 30 44 20  6  0  0
11  0 768464  38208  33856 688128    0    0     0  7820 11584 13769 31 42 22  5  0  0
17  0 768464  41704  33856 647012    0    0     0 11888 13147 14756 35 44 19  3  0  0
12  0 765864  40252  33864 611112    8 1120    12  9410 12926 16197 38 41 17  4  0  0
11  0 760628  37172  33872 570944    0 4006    18 16312 13850 15129 33 40 21  6  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0 783348  31188  33872 526276    0 12182   352 15334 12138 15967 21 33 30 17  0  0
 4  5 814312  37068  32268 488476    8 15672  1754 21692 10259 10785 21 30 30 19  0  0
12  1 824656  36244  31492 466176    0 5144   304  7222 7384 8690 17 33 32 19  0  0
11  0 824656  32604  31500 444536    0    0    36  5554 10176 12444 29 44 22  5  0  0
17  0 824656  36384  30572 430368    0   52     0  2722 5210 5758 29 46 19  7  0  0
12  6 824656  35980  26348 419684    2    8   308  2904 6619 7796 23 42 20 15  0  0
14  0 824656  34180  19844 408696   60    4  3338  4466 10807 15053 33 46 16  6  0  0
11  0 824656  34404  13820 400524  138   74  1066  4438 7956 8998 23 47 20 10  0  0
12  1 824656  30188   7768 360668   96   10  4161  5802 11117 14696 32 51 14  3  0  0
 9  3 824656  31500   3860 335068   12    2  4752  6184 9817 10601 30 44 18  7  0  0
12  1 824656  31012   2920 300280   60   24  5746  8936 10085 10349 30 50 14  6  0  0
13  0 827944  36512   2208 268768    0 1774  4814  6888 9679 11708 25 52 15  8  0  0
19  3 828200  34792   2180 263380    0  198   808  4172 8523 10536 25 40 26  9  0  0
 6 17 869716  38404   1696 244868  122 20920 10189 22854 10040 12878 22 41  9 27  0  0
 3 33 911948  36568   1716 245868  160 21150  6382 21250 5567 5252 13 32  5 50  0  0
 2 13 960332  25120   1844 247236 1458 25626  9980 26052 5507 4896 11 19 23 47  0  0
 0 17 1025664  24476   1800 249716   54 32946  8452 33052 3085 2237  1  7 22 70  0  0
10  9 1048572  36908   1564 164328   98 12936 26241 14920 7954 8328 17 27  4 52  0  0
